height,gender
173,M
165,F
166,M
166,M
165,M
165,F
175,F
187,M
156,F
155,F
167,M
175,F
196,M
176,M
166,F
181,M
157,F
155,M
181,M
172,F
173,F
191,M
160,M
155,F
198,M
175,M
172,M
174,M
193,M
149,F
170,F
178,M
156,F
161,F
170,F
176,F
178,F
161,F
165,M
181,M
162,F
181,M
166,F
162,F
171,M
162,F
175,M
160,F
165,F
160,F
166,F
169,F
168,F
174,F
191,M
155,M
163,F
185,M
176,M
169,F
168,F
162,M
180,M
160,F
174,M
175,F
161,F
181,M
169,M
171,M
158,F
170,M
172,M
190,M
180,M
184,M
148,M
191,M
167,M
173,M
154,F
166,F
182,M
179,M
152,F
177,F
173,F
173,M
159,M
154,F
167,F
179,M
171,F
147,F
157,F
193,M
178,M
167,M
165,M
174,M
164,F
165,F
161,F
170,F
176,M
171,M
157,F
174,M
173,F
183,M
173,M
165,F
168,F
152,F
169,F
179,M
160,M
170,M
178,M
178,M
170,M
156,M
170,M
183,M
170,M
170,F
182,M
154,F
155,F
176,M
161,F
177,M
162,F
160,M
168,M
167,F
170,F
179,M
160,F
157,F
175,F
172,F
155,F
164,F
178,F
152,F
166,F
181,M
157,F
182,M
161,F
164,F
157,F
164,F
178,M
157,F
168,F
150,F
166,F
160,F
196,M
165,F
159,F
161,F
153,F
160,F
168,F
154,F
170,M
160,F
156,F
170,M
162,F
165,M
177,M
155,F
154,F
177,F
177,F
179,M
162,F
182,M
192,M
167,F
149,F
156,F
158,F
165,F
167,F
172,M
166,F
172,M
151,F
177,M
168,F
166,F
149,F
185,M
159,F
166,F
173,F
158,F
173,M
159,F
154,F
169,F
150,F
179,M
168,F
179,F
175,M
159,F
161,F
162,F
172,F
166,M
156,F
177,M
172,M
161,F
177,M
174,F
163,F
160,F
172,M
163,M
169,M
178,F
193,M
173,F
175,M
157,F
163,F
158,F
167,F
171,M
156,F
168,F
167,F
183,M
155,F
184,M
165,F
164,F
181,M
159,F
174,F
145,F
167,F
143,F
156,F
160,F
190,M
150,F
154,F
165,M
184,M
167,F
189,M
153,F
175,M
160,F
178,M
162,M
159,F
155,M
166,F
168,F
163,F
166,F
174,M
155,F
167,F
162,M
177,M
163,F
155,F
173,F
174,M
170,F
164,F
161,F
163,F
160,F
180,M
156,F
166,M
151,F
164,F
167,M
169,F
159,M
175,F
178,F
157,F
158,F
156,F
164,F
175,M
169,F
163,F
160,F
164,F
154,F
151,F
157,F
166,F
184,M
157,F
189,M
157,F
164,F
162,F
170,F
158,F
146,F
178,M
160,F
176,F
177,F
163,F
154,F
166,M
180,M
161,F
161,M
181,M
165,F
140,M
169,M
185,M
177,M
177,M
180,M
183,M
166,F
167,F
168,F
161,F
174,M
193,M
168,M
175,M
162,F
160,F
177,F
175,M
147,F
165,M
152,F
161,F
159,F
175,M
158,M
204,M
174,M
181,M
160,F
158,F
158,F
167,F
174,M
180,M
159,F
167,M
159,F
155,F
169,F
155,F
170,F
161,F
171,M
167,F
166,F
154,F
169,F
169,F
160,M
159,F
169,F
181,M
149,F
156,F
178,F
161,F
167,F
171,M
176,M
175,M
168,F
178,M
171,M
177,F
149,M
172,M
178,M
161,F
199,M
186,M
176,F
160,F
153,F
172,M
170,F
171,M
171,F
161,F
169,M
171,M
169,F
168,F
170,F
197,M
183,M
164,F
178,M
160,F
173,F
164,M
170,M
174,F
161,F
169,M
142,F
173,F
162,F
174,F
156,F
166,M
156,F
162,F
163,F
157,F
184,M
162,F
174,M
141,F
161,M
156,M
168,F
163,F
171,F
168,F
171,F
166,M
171,F
151,F
167,M
152,F
163,M
175,M
170,F
166,M
168,F
166,M
150,F
163,M
169,F
175,M
169,F
164,F
182,M
169,F
169,M
179,M
180,M
145,F
166,F
170,M
160,F
174,F
193,M
190,M
168,F
178,M
163,F
144,F
181,F
164,F
158,F
160,F
167,F
158,M
190,M
167,F
167,F
179,M
175,M
151,F
167,F
182,M
175,F
169,F
147,F
159,F
176,F
154,F
162,F
172,M
176,F
161,F
159,M
156,F
169,F
187,M
156,F
176,M
167,F
154,F
156,F
156,F
163,F
168,M
157,M
169,M
184,M
161,M
162,F
151,F
170,F
177,F
167,F
179,M
147,F
161,F
151,F
166,F
169,F
166,F
149,F
165,F
153,F
150,F
143,F
154,M
147,F
190,M
154,F
152,F
152,F
153,F
170,F
192,M
160,F
155,F
152,F
165,F
157,F
150,F
169,F
170,F
153,F
158,F
163,F
169,F
163,M
157,F
161,F
166,F
154,F
159,M
172,M
163,F
171,F
172,M
143,F
159,F
171,M
166,M
153,F
159,F
153,F
158,F
155,F
186,M
158,F
164,F
158,F
149,F
173,F
162,F
163,F
174,F
190,M
160,F
145,F
165,F
161,F
167,F
163,F
173,F
160,F
157,F
167,F
173,M
189,M
155,F
168,F
158,M
169,M
164,M
156,M
169,F
177,M
160,M
188,M
174,F
191,M
162,F
163,M
149,F
174,F
180,M
169,F
167,F
179,M
178,M
185,M
187,M
156,M
158,F
164,F
167,M
185,M
160,F
162,F
185,M
164,F
172,M
171,M
170,F
161,F
143,F
156,F
178,M
161,F
170,M
155,F
173,M
160,M
155,F
171,F
160,F
153,F
169,F
185,M
147,F
188,M
169,M
168,F
149,F
160,M
159,F
162,F
161,F
167,F
165,F
183,M
171,M
161,F
167,F
158,F
155,F
171,M
157,F
164,F
154,M
155,F
157,F
149,F
170,M
171,M
152,F
178,M
193,M
176,M
153,F
157,F
172,M
184,M
194,M
169,F
161,F
185,M
148,F
172,F
167,F
147,F
166,F
151,M
184,M
192,M
186,M
167,F
183,M
159,F
179,M
180,M
161,F
172,M
163,F
162,F
159,M
165,F
161,F
181,M
157,F
167,F
173,M
177,F
168,M
162,M
156,F
172,M
163,F
157,F
159,F
154,F
184,M
161,F
182,M
166,F
155,F
164,F
177,M
169,F
187,M
165,F
158,F
187,M
178,M
171,F
157,F
157,F
174,M
163,M
161,F
167,M
168,M
168,M
169,M
160,F
168,F
158,F
151,F
168,F
158,F
148,F
146,F
167,F
189,M
165,F
196,M
160,F
176,M
184,F
156,F
175,M
178,F
172,F
169,F
163,F
184,M
167,M
169,M
174,M
167,F
170,F
170,F
174,F
187,M
162,F
171,F
165,F
174,M
167,M
182,F
192,M
172,F
156,F
179,M
157,F
181,M
164,M
173,F
163,F
184,M
159,M
167,M
167,M
177,M
173,F
162,F
179,M
159,F
160,F
167,M
155,F
161,F
162,M
169,M
153,F
181,M
172,M
160,M
154,F
154,F
180,M
170,F
175,M
155,F
188,M
170,F
190,M
173,M
155,F
150,F
157,F
164,M
162,F
165,F
168,F
178,M
160,F
161,F
167,F
159,M
192,M
167,M
163,F
181,M
174,M
176,M
166,F
159,F
178,F
148,F
154,F
176,M
183,M
170,F
161,F
160,F
156,F
162,M
145,F
162,F
183,M
176,M
175,M
175,F
186,M
169,F
162,F
157,F
154,F
157,F
148,F
177,M
169,F
163,F
149,F
166,F
188,M
170,F
150,F
182,M
182,M
161,F
158,F
156,F
189,M
157,F
165,F
148,F
166,F
167,F
168,F
167,F
150,F
153,F
172,M
174,F
176,F
179,F
158,F
169,F
168,F
174,F
170,F
178,F
196,M
163,F
184,F
173,M
160,F
160,F
153,F
165,M
158,F
156,F
171,F
169,M
170,M
163,F
165,M
157,F
180,M
178,M
168,F
147,F
181,F
178,M
180,F
189,M
156,F
166,F
179,M
166,F
186,M
179,M
153,F
161,F
175,M
165,F
200,M
163,F
170,M
163,F
154,F
172,M
156,F
157,F
162,F
175,M
173,F
179,M
143,F
162,F
159,F
166,F
147,M
161,F
158,F
184,M
168,F
164,F
163,F
169,F
167,F
167,M
179,M
167,M
172,F
170,F
164,F
174,F
169,M
172,F
163,M
168,M
160,F
172,F
171,F
164,M
160,F
160,F
158,F
191,M
178,F
180,F
157,F
160,F
161,F
154,F
166,F
170,M
174,F
170,F
161,F
169,F
178,M
163,F
172,F
141,F
173,M
181,M
181,M
161,F
166,F
170,M
158,F
165,F
160,F
172,F
171,F
169,M
161,F
156,F
164,F
160,F
183,M
178,M
150,F
179,M
173,F
165,M
174,M
185,M
166,F
167,F
165,F
160,F
172,M
176,M
157,F
143,F
159,F
175,M
170,M
169,F
179,M
166,F
181,M
154,F
153,F
166,F
148,F
165,F
163,F
178,M
173,M
160,F
166,M
170,M
157,F
180,M
154,F
184,M
169,F
168,M
180,M
156,F
169,F
161,M
154,F
154,F
168,F
171,F
176,F
158,F
175,F
158,F
188,M
163,F
165,F
166,F
158,F
163,F
158,F
166,F
163,F
166,F
176,M
166,F
175,M
177,M
161,F
165,M
170,F
164,F
163,F
162,F
158,F
187,M
158,F
165,F
174,M
163,F
174,M
172,F
170,M
168,F
156,F
164,F
165,M
163,F
171,F
177,M
180,M
164,F
166,F
159,F
179,M
167,M
163,F
167,M
183,M
178,F
153,F
168,M
196,M
155,M
160,F
178,M
172,F
166,M
156,F
173,M
160,F
154,F
177,M
162,M
165,F
154,F
167,M
161,F
156,M
170,F
165,F
180,M
165,M
159,F
166,M
156,F
174,F
175,M
173,M
155,F
186,M
152,F
172,F
156,F
188,M
174,F
155,F
158,F
184,M
189,M
161,M
163,F
172,M
155,F
159,F
151,F
164,F
157,F
170,F
164,F
178,M
178,M
158,F
159,F
164,M
152,F
171,F
159,F
159,F
150,F
164,F
175,F
173,M
179,M
162,F
165,F
173,F
162,F
155,F
183,F
157,F
198,M
169,F
163,F
154,F
164,F
172,F
163,F
163,F
169,F
172,M
183,M
154,F
162,F
163,F
186,M
153,F
179,M
161,F
181,M
160,F
187,M
158,F
185,M
168,F
166,F
156,F
175,M
167,F
167,F
171,M
163,F
175,M
168,F
176,M
159,F
168,M
156,F
162,F
178,M
162,F
185,M
187,M
157,F
151,F
163,F
161,F
157,F
161,F
160,F
164,M
159,F
157,F
161,F
164,F
166,F
170,M
156,F
189,M
151,F
164,F
174,F
160,F
165,M
158,F
160,F
170,M
162,M
159,M
144,F
191,M
165,F
191,M
154,F
179,M
169,M
149,F
168,F
177,M
148,F
151,M
160,F
166,F
191,M
185,M
159,F
157,F
163,F
180,M
170,F
179,M
186,M
175,M
160,F
162,F
181,M
173,M
168,F
160,F
160,F
180,M
155,F
153,M
183,F
155,F
165,F
166,F
171,F
182,M
157,F
180,M
164,F
175,M
176,M
157,F
161,M
157,M
161,F
165,F
161,F
162,F
171,M
182,M
174,M
158,F
166,F
161,F
167,M
172,F
160,F
175,M
165,F
150,F
196,M
177,M
168,F
190,M
162,F
168,M
156,F
171,M
169,F
168,F
170,M
153,F
174,M
171,M
157,F
155,F
166,M
167,M
153,F
152,F
186,M
170,M
160,F
171,M
164,F
159,F
151,F
170,F
156,F
161,F
175,M
156,F
178,M
158,M
178,M
166,F
167,F
153,F
188,M
159,F
192,M
156,F
165,F
156,F
160,F
161,F
157,F
164,F
170,F
172,F
148,F
166,F
156,F
160,F
158,F
154,M
156,F
180,M
158,M
153,F
164,F
156,F
173,F
150,F
163,F
186,F
150,F
147,F
162,F
149,F
178,M
162,F
161,F
162,F
159,F
173,F
150,F
159,F
156,F
159,M
172,M
150,F
170,M
165,F
172,F
160,F
159,F
171,F
163,F
156,F
165,F
169,M
164,F
172,F
175,F
193,M
175,M
159,F
152,F
164,M
166,F
172,F
176,M
171,F
163,M
161,F
177,M
160,F
158,M
170,F
154,F
177,M
148,F
169,F
155,M
159,F
176,F
158,F
195,M
180,M
157,F
173,M
188,M
147,F
160,F
169,F
158,F
193,M
177,M
161,F
162,F
178,M
160,F
164,F
167,F
185,M
153,F
151,F
175,F
168,F
169,M
193,M
171,F
160,F
153,F
160,F
166,F
184,M
169,F
161,F
164,M
155,M
167,F
181,M
161,F
165,F
167,F
172,F
178,M
174,F
154,F
162,F
165,F
168,F
156,F
162,M
152,F
167,F
162,F
177,M
179,M
167,F
180,F
176,M
180,M
166,M
164,F
154,F
163,F
157,F
192,M
153,F
147,F
152,F
194,M
161,F
147,F
168,M
182,M
154,F
159,F
187,M
179,M
177,M
158,M
174,F
180,M
166,M
167,F
180,F
168,F
150,F
160,F
197,M
176,F
181,M
170,F
159,F
181,M
169,F
162,F
163,F
175,M
175,M
159,F
158,F
177,M
162,F
153,F
186,M
156,F
164,F
152,F
188,M
173,M
168,M
155,F
163,M
187,M
156,M
176,F
156,F
165,F
162,F
176,M
175,F
176,M
159,F
146,F
169,M
152,F
185,M
173,F
160,M
155,F
159,F
162,F
161,F
181,M
172,M
159,F
150,F
164,F
182,M
181,M
174,M
171,F
176,F
152,F
174,F
170,F
184,M
164,M
160,F
173,M
162,F
169,M
182,M
165,M
200,M
169,M
198,M
175,M
171,F
156,F
155,F
165,M
171,F
178,M
176,M
158,F
172,M
166,F
150,F
172,M
162,F
157,F
156,F
169,M
159,F
177,M
179,M
164,F
170,F
169,F
160,F
166,F
187,M
